Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CR0 0XB,No,51.375212,-0.099600,532367,165731,TQ323657,5/1/1994 12:00:00 AM,8/1/2016 12:00:00 AM,65,,,Wellesley Road,0.1,Croydon,,,Croydon,Fairfield,
CR0 0XD,Yes,51.375081,-0.098140,532469,165719,TQ324657,1/1/1991 12:00:00 AM,,64,,,Wellesley Road,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 0XF,No,51.378521,-0.098989,532400,166100,TQ324661,1/1/1991 12:00:00 AM,12/1/1995 12:00:00 AM,63,,,West Croydon,0.2,Croydon,,,Croydon,Fairfield,
CR0 0XH,No,51.375838,-0.094416,532726,165810,TQ327658,1/1/1991 12:00:00 AM,1/1/2009 12:00:00 AM,62,,,East Croydon,0.1,Croydon,,,Croydon,Fairfield,
CR0 0XJ,Yes,51.370041,-0.099573,532384,165156,TQ323651,1/1/1991 12:00:00 AM,,59,,,George Street,0.4,Croydon,SES Water,,Croydon,Fairfield,
CR0 0XL,No,51.381356,-0.107494,531800,166400,TQ318663,1/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,48,,,West Croydon,0.5,Croydon,,,Croydon,Broad Green,
CR0 0XZ,Yes,51.356521,-0.117739,531158,163620,TQ311636,1/1/1991 12:00:00 AM,,65,4,1,Waddon,1.2,Croydon,Thames Water,,Croydon,Waddon,
CR0 0YA,No,51.371500,-0.100243,532333,165317,TQ323653,8/1/1993 12:00:00 AM,1/1/2001 12:00:00 AM,60,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 0YD,No,51.372605,-0.099622,532373,165441,TQ323654,8/1/1993 12:00:00 AM,3/1/2001 12:00:00 AM,63,,,George Street,0.2,Croydon,,,Croydon,Fairfield,
CR0 0YE,No,51.374637,-0.098489,532446,165669,TQ324656,8/1/1993 12:00:00 AM,2/1/2010 12:00:00 AM,64,,,George Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 0YF,No,51.374949,-0.096709,532569,165707,TQ325657,8/1/1993 12:00:00 AM,6/1/2000 12:00:00 AM,67,,,Wellesley Road,0.1,Croydon,,,Croydon,Fairfield,
CR0 0YG,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0YH,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0YJ,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0YL,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1999 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0YN,Yes,51.373971,-0.096278,532602,165599,TQ326655,8/1/1993 12:00:00 AM,,64,,,George Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 0YP,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0YQ,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,7/1/1997 12:00:00 AM,65,,,Waddon,1.2,Croydon,,,Croydon,Waddon,
CR0 0ZW,Yes,51.378068,-0.113266,531408,166024,TQ314660,4/1/2019 12:00:00 AM,,43,,,Waddon Marsh,0.3,Croydon,Thames Water,,Croydon,Broad Green,
CR0 1AA,Yes,51.367674,-0.100591,532320,164891,TQ323648,1/1/1980 12:00:00 AM,,50,102,43,George Street,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AB,Yes,51.367502,-0.101043,532289,164871,TQ322648,1/1/1980 12:00:00 AM,,49,37,20,Church Street,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AD,Yes,51.366995,-0.102487,532190,164812,TQ321648,1/1/1980 12:00:00 AM,,51,61,20,Church Street,0.8,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AE,Yes,51.367318,-0.102441,532192,164848,TQ321648,1/1/1980 12:00:00 AM,,49,95,47,Church Street,0.7,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AF,Yes,51.365736,-0.100312,532345,164676,TQ323646,1/1/1980 12:00:00 AM,,50,60,22,South Croydon,0.6,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AG,Yes,51.367319,-0.101953,532226,164849,TQ322648,1/1/1980 12:00:00 AM,,49,65,30,Church Street,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AH,Yes,51.367163,-0.100652,532317,164834,TQ323648,1/1/1980 12:00:00 AM,,49,70,39,South Croydon,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AJ,Yes,51.365995,-0.100157,532355,164705,TQ323647,1/1/1980 12:00:00 AM,,50,94,35,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AL,Yes,51.366788,-0.103630,532111,164787,TQ321647,1/1/1980 12:00:00 AM,,54,91,46,Church Street,0.8,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AN,Yes,51.366945,-0.103304,532133,164805,TQ321648,1/1/1980 12:00:00 AM,,52,100,41,Church Street,0.8,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AP,Yes,51.365879,-0.103553,532119,164686,TQ321646,1/1/1980 12:00:00 AM,,55,68,35,South Croydon,0.8,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AQ,Yes,51.369777,-0.104380,532050,165118,TQ320651,1/1/1980 12:00:00 AM,,48,104,38,Church Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AR,Yes,51.369071,-0.105199,531995,165038,TQ319650,9/1/1991 12:00:00 AM,,50,,,Church Street,0.5,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AS,Yes,51.370594,-0.106515,531899,165205,TQ318652,1/1/1980 12:00:00 AM,,52,113,47,Church Street,0.4,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AT,Yes,51.370594,-0.106515,531899,165205,TQ318652,1/1/1980 12:00:00 AM,,52,89,43,Church Street,0.4,Croydon,Thames Water,,Croydon,Waddon,
CR0 1AU,Yes,51.370772,-0.105847,531945,165226,TQ319652,1/1/1980 12:00:00 AM,,49,58,32,Church Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AW,Yes,51.369621,-0.104745,532025,165100,TQ320650,1/1/1980 12:00:00 AM,,48,55,17,Church Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AX,Yes,51.372783,-0.104514,532032,165452,TQ320654,1/1/1980 12:00:00 AM,,49,60,32,Church Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AY,Yes,51.371494,-0.104912,532008,165308,TQ320653,1/1/1980 12:00:00 AM,,46,62,25,Church Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1AZ,Yes,51.371758,-0.105059,531997,165337,TQ319653,1/1/1980 12:00:00 AM,,46,72,27,Church Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BA,Yes,51.367620,-0.095030,532707,164895,TQ327648,1/1/1980 12:00:00 AM,,66,42,19,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BB,Yes,51.367997,-0.094986,532709,164937,TQ327649,1/1/1980 12:00:00 AM,,67,39,16,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BD,Yes,51.367509,-0.097621,532527,164878,TQ325648,1/1/1980 12:00:00 AM,,56,11,4,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BH,Yes,51.367731,-0.098548,532462,164901,TQ324649,1/1/1980 12:00:00 AM,,55,57,26,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BL,Yes,51.368850,-0.095442,532675,165031,TQ326650,1/1/1980 12:00:00 AM,,67,147,78,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BN,Yes,51.369591,-0.093486,532809,165117,TQ328651,6/1/2000 12:00:00 AM,,68,38,19,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BQ,Yes,51.367278,-0.095016,532709,164857,TQ327648,1/1/1980 12:00:00 AM,,64,32,18,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BR,Yes,51.367095,-0.093702,532801,164839,TQ328648,1/1/1980 12:00:00 AM,,66,24,18,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BS,Yes,51.368177,-0.096099,532631,164955,TQ326649,2/1/1990 12:00:00 AM,,63,38,33,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BT,Yes,51.367456,-0.104321,532061,164860,TQ320648,7/1/1990 12:00:00 AM,,54,,,Church Street,0.7,Croydon,Thames Water,,Croydon,Waddon,
CR0 1BU,Yes,51.367742,-0.101436,532261,164897,TQ322648,11/1/2006 12:00:00 AM,,49,59,41,Church Street,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BW,Yes,51.369855,-0.100871,532294,165133,TQ322651,1/1/2007 12:00:00 AM,,53,25,13,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BX,Yes,51.369948,-0.100508,532319,165144,TQ323651,2/1/2007 12:00:00 AM,,54,22,10,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1BY,No,51.371454,-0.095779,532644,165320,TQ326653,1/1/2007 12:00:00 AM,6/1/2024 12:00:00 AM,67,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DA,No,51.370833,-0.101822,532225,165240,TQ322652,7/1/2003 12:00:00 AM,4/1/2005 12:00:00 AM,53,,,Church Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1DB,Yes,51.369333,-0.100835,532298,165075,TQ322650,1/1/1980 12:00:00 AM,,51,22,9,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DD,Yes,51.368815,-0.100483,532324,165018,TQ323650,1/1/1980 12:00:00 AM,,52,25,11,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DE,Yes,51.368631,-0.100807,532302,164997,TQ323649,1/1/1980 12:00:00 AM,,50,27,14,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DF,Yes,51.369186,-0.101218,532272,165058,TQ322650,1/1/1980 12:00:00 AM,,50,39,12,Church Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DG,Yes,51.368297,-0.101280,532270,164959,TQ322649,1/1/1980 12:00:00 AM,,49,64,34,Church Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DH,No,51.370269,-0.100897,532291,165179,TQ322651,8/1/1993 12:00:00 AM,4/1/2008 12:00:00 AM,54,,,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DJ,Yes,51.368178,-0.100610,532317,164947,TQ323649,1/1/1980 12:00:00 AM,,50,45,21,George Street,0.7,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DL,Yes,51.367031,-0.099166,532421,164822,TQ324648,1/1/1980 12:00:00 AM,,51,,,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DN,Yes,51.366457,-0.099291,532414,164758,TQ324647,1/1/1980 12:00:00 AM,,50,13,5,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DP,Yes,51.365738,-0.099274,532417,164678,TQ324646,1/1/1980 12:00:00 AM,,50,61,23,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DQ,Yes,51.364196,-0.099065,532436,164507,TQ324645,1/1/1980 12:00:00 AM,,51,31,14,South Croydon,0.4,Croydon,Thames Water,,Croydon,Waddon,
CR0 1DR,Yes,51.364822,-0.099358,532414,164576,TQ324645,1/1/1980 12:00:00 AM,,51,19,6,South Croydon,0.5,Croydon,Thames Water,,Croydon,Waddon,
CR0 1DS,Yes,51.365385,-0.100844,532309,164636,TQ323646,1/1/1980 12:00:00 AM,,52,104,40,South Croydon,0.6,Croydon,Thames Water,,Croydon,Waddon,
CR0 1DT,Yes,51.364876,-0.101594,532258,164578,TQ322645,1/1/1980 12:00:00 AM,,53,25,9,South Croydon,0.6,Croydon,Thames Water,,Croydon,Waddon,
CR0 1DU,Yes,51.366873,-0.100003,532363,164803,TQ323648,1/1/1980 12:00:00 AM,,49,59,26,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DW,Yes,51.374947,-0.102672,532154,165696,TQ321656,11/1/2007 12:00:00 AM,,52,37,13,Centrale,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DX,Yes,51.369623,-0.101513,532250,165106,TQ322651,1/1/1980 12:00:00 AM,,50,21,8,Church Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DY,Yes,51.368920,-0.096456,532604,165037,TQ326650,11/1/2007 12:00:00 AM,,63,3,1,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1DZ,No,51.371233,-0.099305,532399,165289,TQ323652,6/1/2001 12:00:00 AM,4/1/2005 12:00:00 AM,61,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1EA,Yes,51.371477,-0.098824,532432,165317,TQ324653,1/1/1980 12:00:00 AM,,61,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EB,Yes,51.370840,-0.094480,532736,165254,TQ327652,1/1/1980 12:00:00 AM,,67,30,18,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1ED,Yes,51.371276,-0.094795,532713,165302,TQ327653,1/1/1980 12:00:00 AM,,67,31,12,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EE,No,51.369534,-0.099361,532400,165100,TQ324651,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,59,,,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EF,Yes,51.367898,-0.097720,532519,164921,TQ325649,1/1/1980 12:00:00 AM,,57,56,21,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EG,Yes,51.369236,-0.097635,532521,165070,TQ325650,1/1/1980 12:00:00 AM,,64,52,22,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EH,No,51.374648,-0.094221,532743,165678,TQ327656,6/1/2000 12:00:00 AM,1/1/2011 12:00:00 AM,65,,,East Croydon,0.1,Croydon,,,Croydon,Fairfield,
CR0 1EJ,Yes,51.368108,-0.097366,532543,164945,TQ325649,1/1/1980 12:00:00 AM,,59,91,39,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1ER,Yes,51.370559,-0.097670,532515,165217,TQ325652,6/1/1998 12:00:00 AM,,65,1,1,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1EX,Yes,51.370883,-0.101058,532278,165247,TQ322652,6/1/2008 12:00:00 AM,,55,166,75,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FA,Yes,51.367474,-0.096028,532638,164877,TQ326648,12/1/1995 12:00:00 AM,,61,25,23,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FB,Yes,51.373439,-0.101182,532262,165531,TQ322655,6/1/2008 12:00:00 AM,,55,,,George Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FD,Yes,51.373375,-0.103901,532073,165519,TQ320655,11/1/2008 12:00:00 AM,,47,8,6,Church Street,0.0,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FE,Yes,51.370511,-0.098074,532487,165211,TQ324652,9/1/2011 12:00:00 AM,,64,,,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FF,Yes,51.372218,-0.101308,532257,165395,TQ322653,2/1/2012 12:00:00 AM,,56,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FG,Yes,51.373085,-0.102048,532203,165490,TQ322654,2/1/2013 12:00:00 AM,,52,,,Church Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FH,Yes,51.376693,-0.102212,532181,165891,TQ321658,10/1/2015 12:00:00 AM,,55,,,Centrale,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FJ,Yes,51.370788,-0.101824,532225,165235,TQ322652,9/1/2015 12:00:00 AM,,52,,,Church Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FL,Yes,51.370867,-0.101160,532271,165245,TQ322652,5/1/2014 12:00:00 AM,,54,,,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FN,Yes,51.371835,-0.100976,532281,165353,TQ322653,7/1/2015 12:00:00 AM,,57,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FP,Yes,51.373264,-0.104767,532013,165505,TQ320655,11/1/2015 12:00:00 AM,,46,,,Church Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FQ,Yes,51.371435,-0.101237,532264,165308,TQ322653,5/1/2016 12:00:00 AM,,50,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FR,Yes,51.374725,-0.104480,532029,165668,TQ320656,7/1/2017 12:00:00 AM,,46,,,Church Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FS,Yes,51.371268,-0.100913,532287,165290,TQ322652,7/1/2016 12:00:00 AM,,50,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FT,Yes,51.371268,-0.100913,532287,165290,TQ322652,7/1/2016 12:00:00 AM,,50,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1FW,Yes,51.369175,-0.098833,532438,165061,TQ324650,5/1/2018 12:00:00 AM,,55,,,George Street,0.5,Croydon,,,Croydon,Fairfield,
CR0 1FX,Yes,51.369175,-0.098833,532438,165061,TQ324650,8/1/2018 12:00:00 AM,,55,,,George Street,0.5,Croydon,,,Croydon,Fairfield,
CR0 1FY,Yes,51.369175,-0.098833,532438,165061,TQ324650,8/1/2018 12:00:00 AM,,55,,,George Street,0.5,Croydon,,,Croydon,Fairfield,
CR0 1FZ,Yes,51.373693,-0.101822,532217,165558,TQ322655,10/1/2017 12:00:00 AM,,51,,,Church Street,0.2,Croydon,SES Water,,Croydon,Fairfield,
CR0 1GA,Yes,51.370464,-0.099024,532421,165204,TQ324652,5/1/2018 12:00:00 AM,,57,,,George Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GB,Yes,51.370473,-0.099010,532422,165205,TQ324652,11/1/2018 12:00:00 AM,,57,,,George Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GD,Yes,51.370473,-0.099024,532421,165205,TQ324652,11/1/2018 12:00:00 AM,,57,,,George Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GE,Yes,51.374787,-0.106073,531918,165672,TQ319656,7/1/2020 12:00:00 AM,,44,,,Reeves Corner,0.1,Croydon,,,Croydon,Fairfield,
CR0 1GF,Yes,51.374318,-0.104368,532038,165623,TQ320656,6/1/2020 12:00:00 AM,,46,,,Church Street,0.1,Croydon,,,Croydon,Fairfield,
CR0 1GG,Yes,51.374168,-0.105093,531988,165605,TQ319656,9/1/2019 12:00:00 AM,,45,,,Church Street,0.1,Croydon,,,Croydon,Fairfield,
CR0 1GH,Yes,51.370569,-0.102166,532202,165210,TQ322652,1/1/2023 12:00:00 AM,,46,,,Church Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GJ,Yes,51.370419,-0.102374,532188,165193,TQ321651,10/1/2022 12:00:00 AM,,46,,,Church Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GL,Yes,51.370419,-0.102374,532188,165193,TQ321651,1/1/2023 12:00:00 AM,,46,,,Church Street,0.4,Croydon,,,Croydon,Fairfield,
CR0 1GP,Yes,51.374298,-0.094225,532744,165639,TQ327656,7/1/2020 12:00:00 AM,,57,,,East Croydon,0.2,Croydon,,,Croydon,Fairfield,
CR0 1GQ,Yes,51.374192,-0.093827,532772,165628,TQ327656,8/1/2020 12:00:00 AM,,60,,,East Croydon,0.2,Croydon,,,Croydon,Fairfield,
CR0 1GR,Yes,51.374949,-0.096683,532571,165707,TQ325657,10/1/2019 12:00:00 AM,,53,,,Wellesley Road,0.1,Croydon,,,Croydon,Fairfield,
CR0 1GS,Yes,51.366326,-0.101149,532285,164740,TQ322647,4/1/2020 12:00:00 AM,,48,,,South Croydon,0.7,Croydon,,,Croydon,Waddon,
CR0 1GT,Yes,51.372864,-0.100606,532304,165468,TQ323654,6/1/2002 12:00:00 AM,,57,3,1,George Street,0.2,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1GU,Yes,51.367531,-0.099534,532394,164877,TQ323648,9/1/2017 12:00:00 AM,,48,,,South Croydon,0.7,Croydon,SES Water,,Croydon,Fairfield,
CR0 1GW,Yes,51.373357,-0.099982,532346,165524,TQ323655,2/1/2021 12:00:00 AM,,57,,,George Street,0.1,Croydon,,,Croydon,Fairfield,
CR0 1GX,Yes,51.371329,-0.097494,532525,165303,TQ325653,10/1/2021 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1GY,Yes,51.371533,-0.097285,532539,165326,TQ325653,10/1/2021 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1GZ,Yes,51.371248,-0.097483,532526,165294,TQ325652,12/1/2021 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1HA,Yes,51.368352,-0.093592,532805,164979,TQ328649,1/1/1980 12:00:00 AM,,70,146,67,South Croydon,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1HB,Yes,51.371487,-0.093375,532811,165328,TQ328653,1/1/1980 12:00:00 AM,,66,54,30,East Croydon,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1HE,Yes,51.369252,-0.094215,532759,165078,TQ327650,1/1/1980 12:00:00 AM,,69,91,51,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1HF,Yes,51.370914,-0.094075,532764,165263,TQ327652,1/1/1980 12:00:00 AM,,67,51,28,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1HY,Yes,51.367285,-0.093751,532797,164860,TQ327648,1/1/1992 12:00:00 AM,,67,15,10,South Croydon,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JA,Yes,51.373797,-0.097162,532541,165578,TQ325655,1/1/1980 12:00:00 AM,,63,,,George Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JB,Yes,51.368368,-0.096798,532582,164975,TQ325649,1/1/1980 12:00:00 AM,,61,9,5,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JD,Yes,51.372524,-0.095778,532641,165439,TQ326654,1/1/2004 12:00:00 AM,,67,,,George Street,0.3,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JE,Yes,51.369695,-0.097113,532556,165122,TQ325651,10/1/1985 12:00:00 AM,,65,49,21,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JF,Yes,51.369190,-0.097037,532563,165066,TQ325650,1/1/1980 12:00:00 AM,,63,,,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JG,Yes,51.369781,-0.096320,532611,165133,TQ326651,1/1/1980 12:00:00 AM,,66,12,5,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JH,Yes,51.369912,-0.097176,532551,165146,TQ325651,9/1/2002 12:00:00 AM,,66,75,37,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JJ,Yes,51.369163,-0.096432,532605,165064,TQ326650,1/1/1980 12:00:00 AM,,63,22,11,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JL,Yes,51.371248,-0.097483,532526,165294,TQ325652,11/1/2021 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1JN,Yes,51.371542,-0.095112,532690,165331,TQ326653,1/1/1980 12:00:00 AM,,66,45,25,George Street,0.4,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JP,Yes,51.369977,-0.095622,532659,165156,TQ326651,1/1/1980 12:00:00 AM,,67,86,47,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JQ,Yes,51.370400,-0.094544,532733,165205,TQ327652,1/1/1980 12:00:00 AM,,68,57,34,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JR,Yes,51.369159,-0.095124,532696,165066,TQ326650,1/1/1980 12:00:00 AM,,68,74,36,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JS,Yes,51.369600,-0.095681,532656,165114,TQ326651,1/1/1980 12:00:00 AM,,66,69,38,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JW,Yes,51.369326,-0.097071,532560,165081,TQ325650,3/1/2005 12:00:00 AM,,63,40,19,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JX,Yes,51.369190,-0.097023,532564,165066,TQ325650,3/1/2005 12:00:00 AM,,63,,,George Street,0.5,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JY,Yes,51.368973,-0.096942,532570,165042,TQ325650,5/1/2005 12:00:00 AM,,62,74,37,George Street,0.6,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1JZ,Yes,51.371248,-0.097483,532526,165294,TQ325652,12/1/2022 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1LA,Yes,51.374135,-0.098596,532440,165613,TQ324656,1/1/1980 12:00:00 AM,,64,,,George Street,0.0,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LB,Yes,51.374318,-0.097715,532501,165635,TQ325656,1/1/1980 12:00:00 AM,,63,9,3,George Street,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LD,Yes,51.374851,-0.094532,532721,165700,TQ327656,1/1/1980 12:00:00 AM,,66,16,11,East Croydon,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LE,Yes,51.375399,-0.096693,532569,165757,TQ325657,12/1/1999 12:00:00 AM,,69,,,Wellesley Road,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LF,Yes,51.374952,-0.092976,532829,165714,TQ328657,1/1/1980 12:00:00 AM,,64,,,East Croydon,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LG,Yes,51.374536,-0.096194,532606,165662,TQ326656,1/1/1980 12:00:00 AM,,66,,,Wellesley Road,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LH,Yes,51.374895,-0.096671,532572,165701,TQ325657,1/1/1980 12:00:00 AM,,67,3,1,Wellesley Road,0.1,Croydon,Thames Water,,Croydon,Fairfield,
CR0 1LJ,Yes,51.371248,-0.097483,532526,165294,TQ325652,5/1/2022 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
CR0 1LL,Yes,51.371214,-0.098131,532481,165289,TQ324652,8/1/2021 12:00:00 AM,,58,,,George Street,0.3,Croydon,,,Croydon,Fairfield,
